x	ro
0.000000000000000e+00	-2.792526e+06
1.000000000000000e+00	-1.494121e+07
2.000000000000000e+00	-4.732671e+06
3.000000000000000e+00	-2.426988e+06
4.000000000000000e+00	3.960450e+06
5.000000000000000e+00	-2.895420e+06
6.000000000000000e+00	-2.531066e+06
7.000000000000000e+00	3.362150e+06
8.000000000000000e+00	-2.010286e+06
9.000000000000000e+00	-4.208059e+07
1.000000000000000e+01	6.847482e+06
1.100000000000000e+01	2.580646e+06
1.200000000000000e+01	-5.817022e+07
1.300000000000000e+01	1.461942e+06
1.400000000000000e+01	3.422595e+06
1.500000000000000e+01	3.988868e+06
1.600000000000000e+01	-2.294466e+06
1.700000000000000e+01	4.460285e+06
1.800000000000000e+01	-4.028856e+06
1.900000000000000e+01	1.506354e+07
2.000000000000000e+01	-3.555664e+06
2.100000000000000e+01	-3.188944e+06
2.200000000000000e+01	-1.345612e+06
2.300000000000000e+01	3.364543e+06
2.400000000000000e+01	-3.761982e+07
2.500000000000000e+01	2.901995e+06
2.600000000000000e+01	-2.546616e+06
2.700000000000000e+01	-5.572770e+07
2.800000000000000e+01	8.025084e+06
2.900000000000000e+01	1.635334e+07
3.000000000000000e+01	-1.377512e+07
3.100000000000000e+01	1.178618e+08
3.200000000000000e+01	-1.867040e+06
3.300000000000000e+01	2.847524e+06
3.400000000000000e+01	7.712217e+06
3.500000000000000e+01	-4.406693e+06
3.600000000000000e+01	-3.233629e+07
3.700000000000000e+01	-5.161431e+06
3.800000000000000e+01	5.118844e+06
3.900000000000000e+01	3.727784e+06
4.000000000000000e+01	2.854888e+06
4.100000000000000e+01	1.367592e+07
4.200000000000000e+01	-3.702347e+06
4.300000000000000e+01	9.336343e+06
4.400000000000000e+01	3.147981e+06
4.500000000000000e+01	6.533583e+07
4.600000000000000e+01	-1.770672e+06
4.700000000000000e+01	-1.621118e+06
4.800000000000000e+01	-2.645498e+06
4.900000000000000e+01	8.430429e+06
5.000000000000000e+01	-4.022501e+06
5.100000000000000e+01	1.207750e+07
5.200000000000000e+01	-7.706153e+06
5.300000000000000e+01	1.811360e+06
5.400000000000000e+01	-4.950786e+07
