x	ro
5.600000000000000e+01	-1.122679e+07
5.700000000000000e+01	5.136223e+07
5.800000000000000e+01	-1.320077e+07
5.900000000000000e+01	1.031903e+07
6.000000000000000e+01	1.166036e+07
6.100000000000000e+01	8.245821e+06
6.200000000000000e+01	1.892299e+07
6.300000000000000e+01	4.129608e+06
6.400000000000000e+01	5.401068e+07
6.500000000000000e+01	9.534747e+06
6.600000000000000e+01	-9.850998e+07
6.700000000000000e+01	2.947636e+06
6.800000000000000e+01	9.728810e+06
6.900000000000000e+01	-2.554594e+06
7.000000000000000e+01	2.047316e+07
7.100000000000000e+01	3.274432e+07
7.200000000000000e+01	5.308227e+07
7.300000000000000e+01	-3.559868e+06
7.400000000000000e+01	6.108984e+06
7.500000000000000e+01	-5.739678e+06
7.600000000000000e+01	5.037504e+07
7.700000000000000e+01	5.231338e+07
7.800000000000000e+01	3.925622e+07
7.900000000000000e+01	5.469106e+06
8.000000000000000e+01	-6.557098e+07
8.100000000000000e+01	-3.192425e+06
8.200000000000000e+01	-9.690355e+06
8.300000000000000e+01	6.028570e+06
8.400000000000000e+01	-7.579900e+06
8.500000000000000e+01	6.913239e+06
8.600000000000000e+01	-1.641607e+07
8.700000000000000e+01	6.880183e+06
8.800000000000000e+01	2.093357e+08
8.900000000000000e+01	4.308164e+06
9.000000000000000e+01	-1.644353e+07
9.100000000000000e+01	5.912718e+06
9.200000000000000e+01	-1.707297e+07
9.300000000000000e+01	-1.013207e+07
9.400000000000000e+01	2.367187e+07
9.500000000000000e+01	-2.070810e+06
9.600000000000000e+01	-5.948550e+06
9.700000000000000e+01	-8.041392e+06
9.800000000000000e+01	-8.896348e+06
9.900000000000000e+01	1.152968e+07
1.000000000000000e+02	1.507164e+07
1.010000000000000e+02	-5.000068e+06
1.020000000000000e+02	-1.280536e+07
1.030000000000000e+02	6.724106e+06
1.040000000000000e+02	-4.748941e+06
1.050000000000000e+02	4.243384e+07
1.060000000000000e+02	3.608726e+06
1.070000000000000e+02	1.840572e+07
1.080000000000000e+02	5.021378e+06
1.090000000000000e+02	1.744383e+07
1.100000000000000e+02	8.615487e+06
1.110000000000000e+02	3.422543e+06
1.120000000000000e+02	-5.685222e+06
1.130000000000000e+02	-3.993965e+06
1.140000000000000e+02	9.959253e+06
1.150000000000000e+02	2.787099e+07
1.160000000000000e+02	-1.626106e+08
1.170000000000000e+02	-3.043904e+06
1.180000000000000e+02	4.057656e+06
1.190000000000000e+02	-4.064757e+06
1.200000000000000e+02	9.682240e+06
1.210000000000000e+02	-7.141131e+06
1.220000000000000e+02	-4.149331e+06
1.230000000000000e+02	9.788847e+06
1.240000000000000e+02	2.828535e+07
1.250000000000000e+02	-2.473646e+07
1.260000000000000e+02	-6.217615e+06
1.270000000000000e+02	-1.498345e+07
1.280000000000000e+02	-1.013120e+09
1.290000000000000e+02	3.551934e+09
1.300000000000000e+02	1.240971e+07
1.310000000000000e+02	4.188379e+06
1.320000000000000e+02	7.719835e+06
1.330000000000000e+02	3.853840e+06
1.340000000000000e+02	2.639423e+06
1.350000000000000e+02	8.601507e+06
1.360000000000000e+02	-8.995800e+07
1.370000000000000e+02	1.677905e+07
1.380000000000000e+02	1.138509e+07
1.390000000000000e+02	5.392227e+06
1.400000000000000e+02	4.069558e+06
1.410000000000000e+02	9.380832e+06
1.420000000000000e+02	-8.403974e+06
1.430000000000000e+02	6.157765e+06
1.440000000000000e+02	-2.340882e+07
1.450000000000000e+02	4.903802e+07
1.460000000000000e+02	4.613199e+06
1.470000000000000e+02	8.002880e+06
1.480000000000000e+02	-3.221957e+08
1.490000000000000e+02	9.525186e+06
1.500000000000000e+02	6.077531e+06
1.510000000000000e+02	-7.092902e+06
1.520000000000000e+02	3.988437e+06
1.530000000000000e+02	1.211873e+07
1.540000000000000e+02	5.362329e+06
1.550000000000000e+02	-1.668020e+07
1.560000000000000e+02	-4.037568e+06
1.570000000000000e+02	4.892330e+06
1.580000000000000e+02	1.418755e+08
1.590000000000000e+02	1.204367e+07
1.600000000000000e+02	3.158752e+08
1.610000000000000e+02	7.002547e+07
1.620000000000000e+02	5.616279e+06
1.630000000000000e+02	-6.519764e+06
1.640000000000000e+02	4.080322e+06
1.650000000000000e+02	-1.264816e+07
1.660000000000000e+02	-5.962519e+06
1.670000000000000e+02	7.528372e+06
1.680000000000000e+02	7.932340e+06
1.690000000000000e+02	-6.887416e+06
1.700000000000000e+02	6.248000e+07
1.710000000000000e+02	-5.052051e+06
1.720000000000000e+02	2.675543e+07
1.730000000000000e+02	7.769764e+06
1.740000000000000e+02	3.676127e+07
1.750000000000000e+02	1.157708e+07
1.760000000000000e+02	6.965291e+06
1.770000000000000e+02	-5.064656e+06
1.780000000000000e+02	-1.962917e+08
1.790000000000000e+02	-2.831009e+06
1.800000000000000e+02	-5.417226e+06
1.810000000000000e+02	3.040003e+07
1.820000000000000e+02	-6.520736e+06
1.830000000000000e+02	1.373646e+07
1.840000000000000e+02	1.474548e+07
1.850000000000000e+02	1.003415e+07
1.860000000000000e+02	1.520221e+08
1.870000000000000e+02	-1.561681e+07
1.880000000000000e+02	-3.543013e+06
1.890000000000000e+02	3.847153e+06
1.900000000000000e+02	-2.113504e+07
1.910000000000000e+02	4.900450e+06
1.920000000000000e+02	7.968378e+06
1.930000000000000e+02	-1.174220e+07
1.940000000000000e+02	-1.114857e+07
1.950000000000000e+02	6.649651e+06
1.960000000000000e+02	-9.394609e+06
1.970000000000000e+02	-2.024817e+09
1.980000000000000e+02	1.141306e+07
1.990000000000000e+02	-3.878341e+06
2.000000000000000e+02	7.032652e+06
2.010000000000000e+02	7.874492e+06
2.020000000000000e+02	1.961125e+07
2.030000000000000e+02	-3.565051e+06
2.040000000000000e+02	-5.138482e+06
2.050000000000000e+02	9.625212e+06
2.060000000000000e+02	-1.848499e+07
2.070000000000000e+02	4.285982e+06
2.080000000000000e+02	-1.130035e+07
2.090000000000000e+02	-1.434471e+07
2.100000000000000e+02	1.035770e+07
2.110000000000000e+02	-1.990206e+07
2.120000000000000e+02	-7.710109e+06
2.130000000000000e+02	5.422694e+06
2.140000000000000e+02	1.211212e+07
2.150000000000000e+02	-1.967024e+07
2.160000000000000e+02	1.287131e+07
2.170000000000000e+02	-3.548154e+06
2.180000000000000e+02	5.829368e+06
2.190000000000000e+02	-4.750352e+06
2.200000000000000e+02	-1.341136e+07
2.210000000000000e+02	-2.440732e+07
2.220000000000000e+02	6.429383e+06
2.230000000000000e+02	-6.974162e+06
2.240000000000000e+02	1.031049e+08
2.250000000000000e+02	-4.789588e+06
2.260000000000000e+02	1.033806e+07
2.270000000000000e+02	-9.099494e+07
2.280000000000000e+02	-4.595280e+07
2.290000000000000e+02	-8.939537e+06
2.300000000000000e+02	9.370864e+06
2.310000000000000e+02	-3.070393e+07
2.320000000000000e+02	-2.536113e+06
2.330000000000000e+02	6.964604e+06
2.340000000000000e+02	-1.105228e+07
2.350000000000000e+02	4.981690e+06
2.360000000000000e+02	-7.266562e+07
2.370000000000000e+02	-4.398870e+06
2.380000000000000e+02	-5.238068e+06
2.390000000000000e+02	-3.206773e+07
2.400000000000000e+02	6.511000e+06
2.410000000000000e+02	6.650445e+06
2.420000000000000e+02	-1.435505e+07
2.430000000000000e+02	1.141202e+07
