x	ro
0.000000000000000e+00	-1.336223e+07
1.000000000000000e+00	-6.028895e+07
2.000000000000000e+00	-2.199241e+07
3.000000000000000e+00	-1.167728e+07
4.000000000000000e+00	2.114335e+07
5.000000000000000e+00	-1.383552e+07
6.000000000000000e+00	-1.216151e+07
7.000000000000000e+00	1.777112e+07
8.000000000000000e+00	-9.738217e+06
9.000000000000000e+00	-1.257589e+08
1.000000000000000e+01	3.843508e+07
1.100000000000000e+01	1.346194e+07
1.200000000000000e+01	-1.506745e+08
1.300000000000000e+01	7.485381e+06
1.400000000000000e+01	1.810211e+07
1.500000000000000e+01	2.130184e+07
1.600000000000000e+01	-1.106334e+07
1.700000000000000e+01	2.401741e+07
1.800000000000000e+01	-1.892155e+07
1.900000000000000e+01	9.913966e+07
2.000000000000000e+01	-1.681840e+07
2.100000000000000e+01	-1.516624e+07
2.200000000000000e+01	-6.587136e+06
2.300000000000000e+01	1.778462e+07
2.400000000000000e+01	-1.173838e+08
2.500000000000000e+01	1.521972e+07
2.600000000000000e+01	-1.223446e+07
2.700000000000000e+01	-1.472657e+08
2.800000000000000e+01	4.603874e+07
2.900000000000000e+01	1.107568e+08
3.000000000000000e+01	-5.643804e+07
3.100000000000000e+01	-6.663534e+08
3.200000000000000e+01	-9.064178e+06
3.300000000000000e+01	1.491236e+07
3.400000000000000e+01	4.398668e+07
3.500000000000000e+01	-2.058156e+07
3.600000000000000e+01	-1.065303e+08
3.700000000000000e+01	-2.383443e+07
3.800000000000000e+01	2.787560e+07
3.900000000000000e+01	1.982576e+07
4.000000000000000e+01	1.495782e+07
4.100000000000000e+01	8.760386e+07
4.200000000000000e+01	-1.747265e+07
4.300000000000000e+01	5.488153e+07
4.400000000000000e+01	1.657745e+07
4.500000000000000e+01	-7.247757e+09
4.600000000000000e+01	-8.610288e+06
4.700000000000000e+01	-7.903652e+06
4.800000000000000e+01	-1.268765e+07
4.900000000000000e+01	4.870540e+07
5.000000000000000e+01	-1.889417e+07
5.100000000000000e+01	7.483272e+07
5.200000000000000e+01	-3.431446e+07
5.300000000000000e+01	9.326532e+06
5.400000000000000e+01	-1.380496e+08
5.500000000000000e+01	1.676383e+07
5.600000000000000e+01	1.187123e+08
5.700000000000000e+01	-6.274326e+07
5.800000000000000e+01	-4.957582e+07
5.900000000000000e+01	2.616300e+07
6.000000000000000e+01	1.189956e+07
6.100000000000000e+01	4.494261e+08
6.200000000000000e+01	-7.046572e+07
6.300000000000000e+01	1.006257e+07
6.400000000000000e+01	3.390100e+07
6.500000000000000e+01	-2.863004e+08
6.600000000000000e+01	3.694083e+07
6.700000000000000e+01	8.289710e+06
6.800000000000000e+01	2.563418e+08
6.900000000000000e+01	-1.277505e+07
7.000000000000000e+01	-7.256860e+07
7.100000000000000e+01	-4.001632e+07
7.200000000000000e+01	-5.088560e+07
7.300000000000000e+01	-1.054972e+07
7.400000000000000e+01	1.601082e+07
7.500000000000000e+01	-1.224812e+07
7.600000000000000e+01	5.273892e+07
7.700000000000000e+01	-1.464192e+07
7.800000000000000e+01	1.965245e+07
7.900000000000000e+01	3.407130e+07
8.000000000000000e+01	4.178653e+07
8.100000000000000e+01	-7.989477e+06
8.200000000000000e+01	-2.064229e+07
8.300000000000000e+01	1.275846e+07
8.400000000000000e+01	-5.370532e+07
8.500000000000000e+01	2.713751e+07
8.600000000000000e+01	-2.906102e+07
8.700000000000000e+01	-4.680570e+07
8.800000000000000e+01	-8.887813e+07
8.900000000000000e+01	1.467476e+07
9.000000000000000e+01	3.479470e+07
9.100000000000000e+01	1.685634e+07
9.200000000000000e+01	1.383426e+07
9.300000000000000e+01	-1.094419e+08
9.400000000000000e+01	7.104074e+07
9.500000000000000e+01	-9.520624e+06
9.600000000000000e+01	-3.616500e+07
9.700000000000000e+01	-1.407726e+07
9.800000000000000e+01	-1.343977e+07
9.900000000000000e+01	7.081610e+07
1.000000000000000e+02	-1.934258e+07
1.010000000000000e+02	-1.094779e+07
1.020000000000000e+02	1.042676e+07
1.030000000000000e+02	3.172788e+07
1.040000000000000e+02	-1.948022e+07
1.050000000000000e+02	-1.341278e+08
1.060000000000000e+02	1.047683e+07
1.070000000000000e+02	1.511849e+07
1.080000000000000e+02	3.468936e+07
1.090000000000000e+02	1.320709e+07
1.100000000000000e+02	2.529587e+08
1.110000000000000e+02	1.808137e+07
1.120000000000000e+02	-9.533260e+06
1.130000000000000e+02	-7.059267e+06
1.140000000000000e+02	1.310971e+07
1.150000000000000e+02	-2.121051e+07
1.160000000000000e+02	-1.072817e+07
