time	V(out)	V(n003)
1.187046874611043e-05	1.782350871610602e-07	0.000000000000000e+00
1.235874999611043e-05	1.855666300408219e-07	0.000000000000000e+00
1.284703124611043e-05	1.928981729170001e-07	0.000000000000000e+00
1.333531249611043e-05	2.002297157895948e-07	0.000000000000000e+00
1.382359374611043e-05	2.075612586586062e-07	0.000000000000000e+00
1.431187499611043e-05	2.148928015240341e-07	0.000000000000000e+00
1.480015624611043e-05	2.222243443858786e-07	0.000000000000000e+00
1.528843749611043e-05	2.295558872441395e-07	0.000000000000000e+00
1.577671874611043e-05	2.368874300988171e-07	0.000000000000000e+00
1.626499999611043e-05	2.442189729499113e-07	0.000000000000000e+00
1.675328124611043e-05	2.515505157974221e-07	0.000000000000000e+00
1.724156249611043e-05	2.588820586413494e-07	0.000000000000000e+00
1.772984374611043e-05	2.662136014816933e-07	0.000000000000000e+00
1.821812499611043e-05	2.735451443184537e-07	0.000000000000000e+00
1.870640624611043e-05	2.808766871516306e-07	0.000000000000000e+00
1.919468749611043e-05	2.882082299812242e-07	0.000000000000000e+00
1.968296874611043e-05	2.955397728072342e-07	0.000000000000000e+00
2.017124999611043e-05	3.028713156296610e-07	0.000000000000000e+00
2.065953124611043e-05	3.102028584485042e-07	0.000000000000000e+00
2.114781249611043e-05	3.175344012637639e-07	0.000000000000000e+00
2.163609374611043e-05	3.248659440754403e-07	0.000000000000000e+00
2.212437499611043e-05	3.321974868835331e-07	0.000000000000000e+00
2.261265624611043e-05	3.395290296880426e-07	0.000000000000000e+00
2.310093749611044e-05	3.468605724889685e-07	0.000000000000000e+00
2.358921874611044e-05	3.541921152863110e-07	0.000000000000000e+00
2.407749999611044e-05	3.615236580800701e-07	0.000000000000000e+00
2.456578124611044e-05	3.688552008702458e-07	0.000000000000000e+00
2.505406249611044e-05	3.761867436568381e-07	0.000000000000000e+00
2.554234374611044e-05	3.835182864398469e-07	0.000000000000000e+00
2.603062499611044e-05	3.908498292192724e-07	0.000000000000000e+00
2.651890624611044e-05	3.981813719951144e-07	0.000000000000000e+00
2.700718749611044e-05	4.055129147673730e-07	0.000000000000000e+00
2.749546874611044e-05	4.128444575360481e-07	0.000000000000000e+00
2.798374999611044e-05	4.201760003011398e-07	0.000000000000000e+00
2.847203124611044e-05	4.275075430626480e-07	0.000000000000000e+00
2.896031249611044e-05	4.348390858205727e-07	0.000000000000000e+00
2.944859374611044e-05	4.421706285749141e-07	0.000000000000000e+00
2.993687499611044e-05	4.495021713256720e-07	0.000000000000000e+00
3.042515624611044e-05	4.568337140728464e-07	0.000000000000000e+00
3.091343749611044e-05	4.641652568164374e-07	0.000000000000000e+00
3.140171874611044e-05	4.714967995564452e-07	0.000000000000000e+00
3.188999999611044e-05	4.788283422928695e-07	0.000000000000000e+00
3.237828124611044e-05	4.861598850257102e-07	0.000000000000000e+00
3.286656249611044e-05	4.934914277549674e-07	0.000000000000000e+00
3.335484374611044e-05	5.008229704806415e-07	0.000000000000000e+00
3.384312499611044e-05	5.081545132027320e-07	0.000000000000000e+00
3.433140624611044e-05	5.154860559212389e-07	0.000000000000000e+00
3.481968749611044e-05	5.228175986361626e-07	0.000000000000000e+00
3.530796874611044e-05	5.301491413475024e-07	0.000000000000000e+00
3.579624999611044e-05	5.374806840552589e-07	0.000000000000000e+00
3.628453124611044e-05	5.448122267594321e-07	0.000000000000000e+00
3.677281249611044e-05	5.521437694600217e-07	0.000000000000000e+00
3.726109374611044e-05	5.594753121570283e-07	0.000000000000000e+00
3.774937499611044e-05	5.668068548504515e-07	0.000000000000000e+00
3.823765624611045e-05	5.741383975402911e-07	0.000000000000000e+00
3.872593749611045e-05	5.814699402265471e-07	0.000000000000000e+00
3.921421874611045e-05	5.888014829092195e-07	0.000000000000000e+00
3.970249999611045e-05	5.961330255883087e-07	0.000000000000000e+00
4.019078124611045e-05	6.034645682638143e-07	0.000000000000000e+00
4.067906249611045e-05	6.107961109357366e-07	0.000000000000000e+00
4.116734374611045e-05	6.181276536040755e-07	0.000000000000000e+00
4.165562499611045e-05	6.254591962688310e-07	0.000000000000000e+00
4.214390624611045e-05	6.327907389300030e-07	0.000000000000000e+00
4.263218749611045e-05	6.401222815875916e-07	0.000000000000000e+00
4.312046874611045e-05	6.474538242415967e-07	0.000000000000000e+00
4.360874999611045e-05	6.547853668920184e-07	0.000000000000000e+00
4.409703124611045e-05	6.621169095388566e-07	0.000000000000000e+00
4.458531249611045e-05	6.694484521821116e-07	0.000000000000000e+00
4.507359374611045e-05	6.767799948217826e-07	0.000000000000000e+00
4.556187499611045e-05	6.841115374578704e-07	0.000000000000000e+00
4.605015624611045e-05	6.914430800903749e-07	0.000000000000000e+00
4.653843749611045e-05	6.987746227192960e-07	0.000000000000000e+00
4.702671874611045e-05	7.061061653446336e-07	0.000000000000000e+00
4.751499999611045e-05	7.134377079663877e-07	0.000000000000000e+00
4.800328124611045e-05	7.207692505845585e-07	0.000000000000000e+00
4.849156249611045e-05	7.281007931991458e-07	0.000000000000000e+00
4.897984374611045e-05	7.354323358101495e-07	0.000000000000000e+00
4.946812499611046e-05	7.427638784175698e-07	0.000000000000000e+00
4.995640624611046e-05	7.500954210214069e-07	0.000000000000000e+00
5.044468749611046e-05	7.574269636216605e-07	0.000000000000000e+00
5.093296874611046e-05	7.647585062183306e-07	0.000000000000000e+00
5.142124999611046e-05	7.720900488114173e-07	0.000000000000000e+00
5.190953124611046e-05	7.794215914009206e-07	0.000000000000000e+00
5.239781249611046e-05	7.867531339868402e-07	0.000000000000000e+00
5.288609374611046e-05	7.940846765691765e-07	0.000000000000000e+00
