x	ro
0.000000000000000e+00	-9.213163e+07
1.000000000000000e+00	-1.115384e+09
2.000000000000000e+00	-3.140424e+07
3.000000000000000e+00	-4.304528e+07
4.000000000000000e+00	2.393604e+07
5.000000000000000e+00	-2.673502e+07
6.000000000000000e+00	-6.443064e+07
7.000000000000000e+00	5.704745e+07
8.000000000000000e+00	-6.616118e+07
9.000000000000000e+00	-7.740215e+07
1.000000000000000e+01	5.566601e+07
1.100000000000000e+01	1.076694e+08
1.200000000000000e+01	3.657473e+07
1.300000000000000e+01	4.101645e+07
1.400000000000000e+01	5.140635e+07
1.500000000000000e+01	2.076475e+07
1.600000000000000e+01	1.494680e+10
1.700000000000000e+01	1.364896e+08
1.800000000000000e+01	-1.456030e+08
1.900000000000000e+01	2.495482e+07
2.000000000000000e+01	5.452230e+08
2.100000000000000e+01	-2.151139e+07
2.200000000000000e+01	-1.238119e+07
2.300000000000000e+01	8.831610e+07
2.400000000000000e+01	-4.026976e+08
2.500000000000000e+01	9.581791e+07
2.600000000000000e+01	-2.575883e+07
2.700000000000000e+01	9.451285e+08
2.800000000000000e+01	7.530607e+08
2.900000000000000e+01	1.795024e+08
3.000000000000000e+01	-1.438263e+08
3.100000000000000e+01	-6.940853e+07
3.200000000000000e+01	-5.485048e+07
3.300000000000000e+01	8.135920e+07
3.400000000000000e+01	4.137096e+07
3.500000000000000e+01	-1.082726e+08
3.600000000000000e+01	-1.417305e+08
3.700000000000000e+01	-3.717508e+07
3.800000000000000e+01	2.904315e+07
3.900000000000000e+01	-4.666330e+07
4.000000000000000e+01	2.067655e+07
4.100000000000000e+01	-2.591359e+07
4.200000000000000e+01	-3.208664e+07
4.300000000000000e+01	4.402286e+07
4.400000000000000e+01	5.717366e+07
4.500000000000000e+01	1.411995e+08
4.600000000000000e+01	-1.699831e+08
4.700000000000000e+01	-1.674979e+07
4.800000000000000e+01	-2.766176e+07
4.900000000000000e+01	5.989338e+07
5.000000000000000e+01	-3.183735e+07
5.100000000000000e+01	-9.589286e+07
5.200000000000000e+01	4.496334e+07
5.300000000000000e+01	1.363871e+08
5.400000000000000e+01	6.965470e+07
5.500000000000000e+01	-7.792684e+07
5.600000000000000e+01	-5.129106e+07
5.700000000000000e+01	4.523794e+08
5.800000000000000e+01	-5.939011e+07
5.900000000000000e+01	5.651320e+07
6.000000000000000e+01	6.467527e+07
6.100000000000000e+01	4.430620e+07
6.200000000000000e+01	1.125662e+08
6.300000000000000e+01	2.139815e+07
6.400000000000000e+01	4.951668e+08
6.500000000000000e+01	5.182165e+07
6.600000000000000e+01	-2.692920e+08
6.700000000000000e+01	1.511819e+07
6.800000000000000e+01	5.298808e+07
6.900000000000000e+01	-1.250268e+07
7.000000000000000e+01	1.237033e+08
7.100000000000000e+01	2.260083e+08
7.200000000000000e+01	4.793257e+08
7.300000000000000e+01	-1.727874e+07
7.400000000000000e+01	3.219563e+07
7.500000000000000e+01	-2.736725e+07
7.600000000000000e+01	4.375774e+08
7.700000000000000e+01	4.675406e+08
7.800000000000000e+01	2.933063e+08
7.900000000000000e+01	2.866862e+07
8.000000000000000e+01	-2.112108e+08
8.100000000000000e+01	-1.553984e+07
8.200000000000000e+01	-4.478845e+07
8.300000000000000e+01	3.175632e+07
8.400000000000000e+01	-3.562244e+07
8.500000000000000e+01	3.670562e+07
8.600000000000000e+01	-7.211331e+07
8.700000000000000e+01	3.650480e+07
8.800000000000000e+01	-1.378434e+09
8.900000000000000e+01	2.234930e+07
9.000000000000000e+01	-7.223142e+07
9.100000000000000e+01	3.112211e+07
9.200000000000000e+01	-7.464787e+07
9.300000000000000e+01	-4.667766e+07
9.400000000000000e+01	1.478269e+08
9.500000000000000e+01	-1.017649e+07
9.600000000000000e+01	-2.832234e+07
9.700000000000000e+01	-3.765760e+07
9.800000000000000e+01	-4.137170e+07
9.900000000000000e+01	6.382855e+07
1.000000000000000e+02	8.631364e+07
1.010000000000000e+02	-2.398885e+07
1.020000000000000e+02	-5.780924e+07
1.030000000000000e+02	3.564662e+07
1.040000000000000e+02	-2.283273e+07
1.050000000000000e+02	3.301627e+08
1.060000000000000e+02	1.860951e+07
1.070000000000000e+02	1.089433e+08
1.080000000000000e+02	2.621401e+07
1.090000000000000e+02	1.022719e+08
1.100000000000000e+02	4.644857e+07
1.110000000000000e+02	1.762168e+07
1.120000000000000e+02	-2.711909e+07
1.130000000000000e+02	-1.931453e+07
1.140000000000000e+02	5.435954e+07
1.150000000000000e+02	1.821065e+08
1.160000000000000e+02	-3.431385e+08
1.170000000000000e+02	-1.483992e+07
1.180000000000000e+02	2.099987e+07
1.190000000000000e+02	-1.965177e+07
1.200000000000000e+02	5.270768e+07
1.210000000000000e+02	-3.367266e+07
1.220000000000000e+02	-2.004507e+07
1.230000000000000e+02	5.335178e+07
1.240000000000000e+02	1.856298e+08
1.250000000000000e+02	-1.023534e+08
1.260000000000000e+02	-2.954527e+07
1.270000000000000e+02	-6.652878e+07
1.280000000000000e+02	-5.324263e+08
1.290000000000000e+02	-6.154986e+08
1.300000000000000e+02	6.929502e+07
1.310000000000000e+02	2.170759e+07
1.320000000000000e+02	4.129471e+07
1.330000000000000e+02	1.991440e+07
1.340000000000000e+02	1.349923e+07
1.350000000000000e+02	4.636950e+07
1.360000000000000e+02	-2.559274e+08
1.370000000000000e+02	9.767622e+07
1.380000000000000e+02	6.297258e+07
1.390000000000000e+02	2.824592e+07
1.400000000000000e+02	2.106299e+07
1.410000000000000e+02	5.093022e+07
1.420000000000000e+02	-3.922836e+07
1.430000000000000e+02	3.247712e+07
1.440000000000000e+02	-9.777276e+07
1.450000000000000e+02	4.177220e+08
1.460000000000000e+02	2.399646e+07
1.470000000000000e+02	4.291599e+07
1.480000000000000e+02	-4.338489e+08
1.490000000000000e+02	5.179274e+07
1.500000000000000e+02	3.202650e+07
1.510000000000000e+02	-3.347699e+07
1.520000000000000e+02	2.063362e+07
1.530000000000000e+02	6.748762e+07
1.540000000000000e+02	2.807402e+07
1.550000000000000e+02	-7.317494e+07
1.560000000000000e+02	-1.952133e+07
1.570000000000000e+02	2.551231e+07
1.580000000000000e+02	-3.630607e+09
1.590000000000000e+02	6.701795e+07
1.600000000000000e+02	-9.486792e+08
1.610000000000000e+02	8.524062e+08
1.620000000000000e+02	2.948040e+07
1.630000000000000e+02	-3.089492e+07
1.640000000000000e+02	2.113151e+07
1.650000000000000e+02	-5.717249e+07
1.660000000000000e+02	-2.838397e+07
1.670000000000000e+02	4.018906e+07
1.680000000000000e+02	4.250668e+07
1.690000000000000e+02	-3.255254e+07
1.700000000000000e+02	6.592139e+08
1.710000000000000e+02	-2.422406e+07
1.720000000000000e+02	1.726279e+08
1.730000000000000e+02	4.156463e+07
1.740000000000000e+02	2.662458e+08
1.750000000000000e+02	6.412306e+07
1.760000000000000e+02	3.698976e+07
1.770000000000000e+02	-2.427580e+07
1.780000000000000e+02	-3.701487e+08
1.790000000000000e+02	-1.382598e+07
1.800000000000000e+02	-2.589247e+07
1.810000000000000e+02	2.044010e+08
1.820000000000000e+02	-3.091078e+07
1.830000000000000e+02	7.768164e+07
1.840000000000000e+02	8.421776e+07
1.850000000000000e+02	5.480282e+07
1.860000000000000e+02	-2.700649e+09
1.870000000000000e+02	-6.900554e+07
1.880000000000000e+02	-1.719610e+07
1.890000000000000e+02	1.988942e+07
1.900000000000000e+02	-8.969932e+07
1.910000000000000e+02	2.555856e+07
1.920000000000000e+02	4.271330e+07
1.930000000000000e+02	-5.341622e+07
1.940000000000000e+02	-5.095774e+07
1.950000000000000e+02	3.521720e+07
1.960000000000000e+02	-4.353390e+07
1.970000000000000e+02	-5.610541e+08
1.980000000000000e+02	6.315138e+07
1.990000000000000e+02	-1.877322e+07
2.000000000000000e+02	3.738730e+07
2.010000000000000e+02	4.217586e+07
2.020000000000000e+02	1.174205e+08
2.030000000000000e+02	-1.730129e+07
2.040000000000000e+02	-2.462296e+07
2.050000000000000e+02	5.237524e+07
2.060000000000000e+02	-7.997405e+07
2.070000000000000e+02	2.223337e+07
2.080000000000000e+02	-5.159181e+07
2.090000000000000e+02	-6.396195e+07
2.100000000000000e+02	5.673152e+07
2.110000000000000e+02	-8.524770e+07
2.120000000000000e+02	-3.619870e+07
2.130000000000000e+02	2.841473e+07
2.140000000000000e+02	6.742982e+07
2.150000000000000e+02	-8.438795e+07
2.160000000000000e+02	7.215937e+07
2.170000000000000e+02	-1.722414e+07
2.180000000000000e+02	3.064237e+07
2.190000000000000e+02	-2.283313e+07
2.200000000000000e+02	-6.026146e+07
2.210000000000000e+02	-1.012455e+08
2.220000000000000e+02	3.399940e+07
2.230000000000000e+02	-3.292904e+07
2.240000000000000e+02	3.914985e+09
2.250000000000000e+02	-2.302185e+07
2.260000000000000e+02	5.659827e+07
2.270000000000000e+02	-2.576090e+08
2.280000000000000e+02	-1.656587e+08
2.290000000000000e+02	-4.156751e+07
2.300000000000000e+02	5.086407e+07
2.310000000000000e+02	-1.219756e+08
2.320000000000000e+02	-1.241612e+07
2.330000000000000e+02	3.699611e+07
2.340000000000000e+02	-5.055886e+07
2.350000000000000e+02	2.601317e+07
2.360000000000000e+02	-2.255447e+08
2.370000000000000e+02	-2.120666e+07
2.380000000000000e+02	-2.508271e+07
2.390000000000000e+02	-1.262578e+08
2.400000000000000e+02	3.444670e+07
2.410000000000000e+02	3.523284e+07
2.420000000000000e+02	-6.402994e+07
2.430000000000000e+02	6.314751e+07
2.440000000000000e+02	-4.011688e+08
2.450000000000000e+02	2.530781e+08
2.460000000000000e+02	-7.722634e+07
2.470000000000000e+02	-3.449162e+07
2.480000000000000e+02	-7.846933e+07
2.490000000000000e+02	-9.388733e+07
2.500000000000000e+02	-7.082023e+07
2.510000000000000e+02	-6.121844e+07
2.520000000000000e+02	1.000149e+08
2.530000000000000e+02	2.634009e+07
2.540000000000000e+02	1.352652e+07
2.550000000000000e+02	5.756637e+07
2.560000000000000e+02	1.508154e+08
2.570000000000000e+02	-2.908390e+07
2.580000000000000e+02	-7.940285e+07
2.590000000000000e+02	3.542802e+07
2.600000000000000e+02	-3.704304e+07
2.610000000000000e+02	-2.061020e+07
2.620000000000000e+02	4.673070e+07
2.630000000000000e+02	1.022441e+09
2.640000000000000e+02	-1.980529e+07
2.650000000000000e+02	3.301349e+07
2.660000000000000e+02	2.527457e+07
2.670000000000000e+02	-3.248552e+08
2.680000000000000e+02	9.185377e+07
2.690000000000000e+02	1.048898e+08
2.700000000000000e+02	3.917210e+07
2.710000000000000e+02	-2.892944e+07
2.720000000000000e+02	2.549950e+07
2.730000000000000e+02	3.128301e+07
2.740000000000000e+02	-2.098359e+07
2.750000000000000e+02	-8.318506e+07
2.760000000000000e+02	-5.157492e+08
2.770000000000000e+02	2.828336e+07
2.780000000000000e+02	9.908640e+06
2.790000000000000e+02	1.163710e+07
2.800000000000000e+02	-2.348669e+07
2.810000000000000e+02	5.407162e+08
2.820000000000000e+02	-1.028436e+08
2.830000000000000e+02	4.601006e+07
2.840000000000000e+02	2.138141e+07
2.850000000000000e+02	-2.377035e+07
2.860000000000000e+02	1.406688e+07
2.870000000000000e+02	-6.915863e+07
2.880000000000000e+02	-3.131575e+07
2.890000000000000e+02	3.177577e+07
2.900000000000000e+02	-2.860540e+07
2.910000000000000e+02	-3.872627e+07
2.920000000000000e+02	3.958794e+07
2.930000000000000e+02	4.059759e+10
2.940000000000000e+02	1.217766e+09
2.950000000000000e+02	-4.703020e+07
2.960000000000000e+02	-1.693947e+08
2.970000000000000e+02	-2.868704e+07
2.980000000000000e+02	-1.349741e+07
2.990000000000000e+02	2.440030e+07
3.000000000000000e+02	-2.938272e+07
3.010000000000000e+02	-3.215522e+07
3.020000000000000e+02	5.792839e+07
3.030000000000000e+02	7.040420e+07
3.040000000000000e+02	2.731950e+07
3.050000000000000e+02	1.936976e+07
3.060000000000000e+02	-5.771938e+07
3.070000000000000e+02	-4.995386e+07
3.080000000000000e+02	5.868033e+07
3.090000000000000e+02	-2.720918e+07
3.100000000000000e+02	1.492950e+08
3.110000000000000e+02	-1.714146e+07
3.120000000000000e+02	-2.077260e+08
3.130000000000000e+02	-7.193191e+07
3.140000000000000e+02	-3.192728e+07
