frequency	V(onoise)/1000
1.380384264602880e+01	1.762529662552369e-10
1.412537544622749e+01	1.728363529259311e-10
1.445439770745922e+01	1.695132673230580e-10
1.479108388168202e+01	1.662814743351432e-10
1.513561248436203e+01	1.631387841885208e-10
1.548816618912476e+01	1.600830519504894e-10
1.584893192461108e+01	1.571121769854282e-10
1.621810097358924e+01	1.542241023518618e-10
1.659586907437554e+01	1.514168141652797e-10
1.698243652461738e+01	1.486883409245704e-10
1.737800828749369e+01	1.460367528150256e-10
1.778279410038916e+01	1.434601609762702e-10
1.819700858609976e+01	1.409567167618127e-10
1.862087136662860e+01	1.385246109802567e-10
1.905460717963240e+01	1.361620731239501e-10
1.949844599758038e+01	1.338673705947348e-10
1.995262314968872e+01	1.316388079259909e-10
2.041737944669521e+01	1.294747260042237e-10
2.089296130854031e+01	1.273735012960176e-10
2.137962089502224e+01	1.253335450793518e-10
2.187761623949544e+01	1.233533026872558e-10
2.238721138568331e+01	1.214312527588939e-10
2.290867652767764e+01	1.195659065066108e-10
2.344228815319913e+01	1.177558069963671e-10
2.398832919019481e+01	1.159995284471531e-10
2.454708915685020e+01	1.142956755449854e-10
2.511886431509570e+01	1.126428827788418e-10
2.570395782768853e+01	1.110398137947006e-10
2.630267991895371e+01	1.094851607720075e-10
2.691534803926904e+01	1.079776438187204e-10
2.754228703338154e+01	1.065160103907121e-10
2.818382931264442e+01	1.050990347300587e-10
2.884031503126593e+01	1.037255173267603e-10
2.951209226666373e+01	1.023942844009633e-10
3.019951720402003e+01	1.011041874062231e-10
3.090295432513577e+01	9.985410255369941e-11
3.162277660168365e+01	9.864293035553736e-11
3.235936569296268e+01	9.746959518856268e-11
3.311311214825896e+01	9.633304487528710e-11
3.388441561392010e+01	9.523225028381666e-11
3.467368504525301e+01	9.416620494276294e-11
3.548133892335738e+01	9.313392467326424e-11
3.630780547700997e+01	9.213444723448142e-11
3.715352290971708e+01	9.116683198307773e-11
3.801893963205595e+01	9.023015954480297e-11
3.890451449942788e+01	8.932353149734566e-11
3.981071705534954e+01	8.844607006315133e-11
4.073802778041109e+01	8.759691781122970e-11
4.168693834703335e+01	8.677523736679294e-11
4.265795188015907e+01	8.598021112760557e-11
4.365158322401639e+01	8.521104098617394e-11
4.466835921509610e+01	8.446694805668942e-11
4.570881896148729e+01	8.374717240565217e-11
4.677351412871960e+01	8.305097278568674e-11
4.786300923226361e+01	8.237762637137817e-11
4.897788193684438e+01	8.172642849661219e-11
5.011872336272698e+01	8.109669239272910e-11
5.128613839913623e+01	8.048774892671200e-11
5.248074602497700e+01	7.989894633923349e-11
5.370317963702501e+01	7.932964998174590e-11
5.495408738576219e+01	7.877924205250700e-11
5.623413251903463e+01	7.824712133121475e-11
5.754399373371541e+01	7.773270291179175e-11
5.888436553555861e+01	7.723541793344034e-11
6.025595860743547e+01	7.675471330970741e-11
6.165950018614791e+01	7.629005145549160e-11
6.309573444801901e+01	7.584091001216513e-11
6.456542290346522e+01	7.540678157061145e-11
6.606934480075925e+01	7.498717339256982e-11
6.760829753919782e+01	7.458160713020072e-11
6.918309709189329e+01	7.418961854420130e-11
7.079457843841342e+01	7.381075722063048e-11
7.244359600749863e+01	7.344458628668859e-11
7.413102413009136e+01	7.309068212573111e-11
7.585775750291798e+01	7.274863409181195e-11
7.762471166286876e+01	7.241804422405084e-11
7.943282347242773e+01	7.209852696109924e-11
8.128305161640949e+01	7.178970885610107e-11
8.317637711026666e+01	7.149122829242776e-11
8.511380382023719e+01	7.120273520048373e-11
8.709635899560760e+01	7.092389077597350e-11
8.912509381337408e+01	7.065436719987253e-11
9.120108393559049e+01	7.039384736049349e-11
9.332543007969861e+01	7.014202457786536e-11
9.549925860214309e+01	6.989860233076738e-11
9.772372209558054e+01	6.966329398669379e-11
9.999999999999946e+01	6.943582253497574e-11
1.023292992280749e+02	6.921592032334908e-11
1.047128548050894e+02	6.900332879818302e-11
1.071519305237600e+02	6.879779824857758e-11
1.096478196143179e+02	6.859908755454860e-11
1.122018454301957e+02	6.840696393946649e-11
1.148153621496876e+02	6.822120272692735e-11
1.174897554939523e+02	6.804158710219107e-11
1.202264434617406e+02	6.786790787832975e-11
1.230268770812374e+02	6.769996326720579e-11
1.258925411794160e+02	6.753755865535420e-11
1.288249551693126e+02	6.738050638489103e-11
1.318256738556399e+02	6.722862553947693e-11
1.348962882591645e+02	6.708174173542481e-11
1.380384264602876e+02	6.693968691796228e-11
1.412537544622746e+02	6.680229916270159e-11
1.445439770745919e+02	6.666942248230954e-11
1.479108388168198e+02	6.654090663839585e-11
1.513561248436199e+02	6.641660695860292e-11
1.548816618912472e+02	6.629638415887866e-11
1.584893192461104e+02	6.618010417090646e-11
1.621810097358920e+02	6.606763797464980e-11
1.659586907437551e+02	6.595886143596906e-11
1.698243652461734e+02	6.585365514925007e-11
1.737800828749365e+02	6.575190428498673e-11
1.778279410038912e+02	6.565349844224717e-11
1.819700858609972e+02	6.555833150594634e-11
1.862087136662855e+02	6.546630150884596e-11
1.905460717963235e+02	6.537731049819497e-11
1.949844599758032e+02	6.529126440691688e-11
1.995262314968867e+02	6.520807292924834e-11
2.041737944669516e+02	6.512764940073233e-11
2.089296130854026e+02	6.504991068245466e-11
2.137962089502218e+02	6.497477704942000e-11
2.187761623949538e+02	6.490217208295673e-11
2.238721138568325e+02	6.483202256703004e-11
2.290867652767758e+02	6.476425838835074e-11
2.344228815319906e+02	6.469881244015530e-11
2.398832919019474e+02	6.463562052953085e-11
2.454708915685014e+02	6.457462128816310e-11
2.511886431509563e+02	6.451575608636963e-11
2.570395782768846e+02	6.445896895029003e-11
2.630267991895364e+02	6.440420648209234e-11
2.691534803926897e+02	6.435141778305809e-11
2.754228703338148e+02	6.430055437940063e-11
2.818382931264435e+02	6.425157015066869e-11
2.884031503126586e+02	6.420442126058854e-11
2.951209226666365e+02	6.415906609018293e-11
3.019951720401995e+02	6.411546517301544e-11
3.090295432513569e+02	6.407358113239081e-11
3.162277660168357e+02	6.403337862034889e-11
3.235936569296260e+02	6.399482425827594e-11
3.311311214825888e+02	6.395788657895936e-11
3.388441561392002e+02	6.392253596990294e-11
3.467368504525292e+02	6.388874461771568e-11
3.548133892335729e+02	6.385648645338519e-11
3.630780547700987e+02	6.382573709823291e-11
3.715352290971698e+02	6.379647381035846e-11
3.801893963205584e+02	6.376867543135813e-11
3.890451449942777e+02	6.374232233311203e-11
3.981071705534943e+02	6.371739636442245e-11
4.073802778041097e+02	6.369388079728525e-11
4.168693834703323e+02	6.367176027257070e-11
4.265795188015895e+02	6.365102074489062e-11
4.365158322401627e+02	6.363164942642597e-11
4.466835921509598e+02	6.361363472948419e-11
4.570881896148716e+02	6.359696620756698e-11
4.677351412871947e+02	6.358163449471687e-11
4.786300923226348e+02	6.356763124293057e-11
4.897788193684425e+02	6.355494905741857e-11
5.011872336272685e+02	6.354358142951161e-11
5.128613839913610e+02	6.353352266701339e-11
5.248074602497686e+02	6.352476782182115e-11
5.370317963702487e+02	6.351731261465036e-11
5.495408738576203e+02	6.351115335671393e-11
5.623413251903447e+02	6.350628686823687e-11
5.754399373371524e+02	6.350271039370993e-11
5.888436553555844e+02	6.350042151381918e-11
6.025595860743530e+02	6.349941805401836e-11
6.165950018614773e+02	6.349969798975901e-11
6.309573444801882e+02	6.350125934842809e-11
6.456542290346504e+02	6.350410010809485e-11
6.606934480075907e+02	6.350821809322305e-11
6.760829753919763e+02	6.351361086755382e-11
6.918309709189309e+02	6.352027562443276e-11
7.079457843841321e+02	6.352820907491348e-11
7.244359600749841e+02	6.353740733403550e-11
7.413102413009113e+02	6.354786580574766e-11
7.585775750291774e+02	6.355957906701296e-11
7.762471166286851e+02	6.357254075170730e-11
7.943282347242747e+02	6.358674343498944e-11
8.128305161640923e+02	6.360217851889426e-11
8.317637711026639e+02	6.361883611996096e-11
8.511380382023692e+02	6.363670495977633e-11
8.709635899560732e+02	6.365577225936214e-11
8.912509381337379e+02	6.367602363839142e-11
9.120108393559019e+02	6.369744302024991e-11
9.332543007969830e+02	6.372001254399300e-11
9.549925860214277e+02	6.374371248426370e-11
9.772372209558022e+02	6.376852118023615e-11
9.999999999999912e+02	6.379441497463939e-11
1.023292992280745e+03	6.382136816388654e-11
1.047128548050890e+03	6.384935296028476e-11
1.071519305237597e+03	6.387833946723816e-11
1.096478196143175e+03	6.390829566827188e-11
1.122018454301953e+03	6.393918743060439e-11
1.148153621496872e+03	6.397097852386930e-11
1.174897554939519e+03	6.400363065446061e-11
1.202264434617402e+03	6.403710351581245e-11
1.230268770812370e+03	6.407135485476151e-11
1.258925411794156e+03	6.410634055396424e-11
1.288249551693122e+03	6.414201473014880e-11
1.318256738556395e+03	6.417832984778933e-11
1.348962882591641e+03	6.421523684760092e-11
1.380384264602872e+03	6.425268528904741e-11
1.412537544622741e+03	6.429062350587369e-11
1.445439770745914e+03	6.432899877349412e-11
1.479108388168193e+03	6.436775748689435e-11
1.513561248436194e+03	6.440684534755304e-11
1.548816618912467e+03	6.444620755777122e-11
1.584893192461099e+03	6.448578902066267e-11
1.621810097358915e+03	6.452553454400196e-11
1.659586907437545e+03	6.456538904604582e-11
1.698243652461728e+03	6.460529776143461e-11
1.737800828749359e+03	6.464520644526349e-11
1.778279410038906e+03	6.468506157345622e-11
1.819700858609966e+03	6.472481053762375e-11
1.862087136662849e+03	6.476440183267465e-11
1.905460717963228e+03	6.480378523556572e-11
1.949844599758026e+03	6.484291197369233e-11
1.995262314968860e+03	6.488173488159386e-11
2.041737944669509e+03	6.492020854479697e-11
2.089296130854019e+03	6.495828942981926e-11
2.137962089502211e+03	6.499593599952927e-11
2.187761623949531e+03	6.503310881326529e-11
2.238721138568317e+03	6.506977061130418e-11
2.290867652767750e+03	6.510588638347250e-11
2.344228815319898e+03	6.514142342186914e-11
2.398832919019466e+03	6.517635135786108e-11
2.454708915685005e+03	6.521064218367151e-11
2.511886431509554e+03	6.524427025903199e-11
2.570395782768837e+03	6.527721230351767e-11
2.630267991895354e+03	6.530944737529698e-11
2.691534803926887e+03	6.534095683712823e-11
2.754228703338138e+03	6.537172431052716e-11
2.818382931264424e+03	6.540173561909002e-11
2.884031503126575e+03	6.543097872200359e-11
2.951209226666354e+03	6.545944363880339e-11
3.019951720401984e+03	6.548712236645889e-11
3.090295432513557e+03	6.551400878985634e-11
3.162277660168345e+03	6.554009858673727e-11
3.235936569296248e+03	6.556538912812248e-11
3.311311214825875e+03	6.558987937521085e-11
3.388441561391989e+03	6.561356977369778e-11
3.467368504525279e+03	6.563646214639183e-11
3.548133892335716e+03	6.565855958496583e-11
3.630780547700973e+03	6.567986634158966e-11
3.715352290971684e+03	6.570038772114582e-11
3.801893963205570e+03	6.572012997463953e-11
3.890451449942763e+03	6.573910019435818e-11
3.981071705534928e+03	6.575730621125659e-11
4.073802778041082e+03	6.577475649497910e-11
4.168693834703307e+03	6.579146005687173e-11
4.265795188015879e+03	6.580742635624936e-11
4.365158322401610e+03	6.582266521015970e-11
4.466835921509581e+03	6.583718670679971e-11
4.570881896148699e+03	6.585100112269817e-11
4.677351412871929e+03	6.586411884374002e-11
4.786300923226329e+03	6.587655029005372e-11
4.897788193684407e+03	6.588830584474317e-11
5.011872336272666e+03	6.589939578642431e-11
5.128613839913590e+03	6.590983022548273e-11
5.248074602497666e+03	6.591961904394513e-11
5.370317963702466e+03	6.592877183884988e-11
5.495408738576182e+03	6.593729786895091e-11
5.623413251903426e+03	6.594520600499258e-11
5.754399373371502e+03	6.595250468109814e-11
5.888436553555821e+03	6.595920185275967e-11
6.025595860743507e+03	6.596530495368935e-11
6.165950018614749e+03	6.597082085699300e-11
6.309573444801857e+03	6.597575583820073e-11
6.456542290346478e+03	6.598011554033770e-11
6.606934480075881e+03	6.598390494083018e-11
6.760829753919737e+03	6.598712832004301e-11
6.918309709189281e+03	6.598978923126455e-11
7.079457843841294e+03	6.599189047193132e-11
7.244359600749813e+03	6.599343405591227e-11
7.413102413009085e+03	6.599442118666508e-11
7.585775750291745e+03	6.599485223109002e-11
7.762471166286822e+03	6.599472669390121e-11
7.943282347242717e+03	6.599404319235225e-11
8.128305161640892e+03	6.599279943115791e-11
8.317637711026608e+03	6.599099217744990e-11
8.511380382023659e+03	6.598861723562398e-11
8.709635899560699e+03	6.598566942193347e-11
8.912509381337344e+03	6.598214253869389e-11
9.120108393558983e+03	6.597802934796533e-11
9.332543007969793e+03	6.597332154459656e-11
9.549925860214238e+03	6.596800972849987e-11
9.772372209557981e+03	6.596208337644575e-11
9.999999999999871e+03	6.595553081091943e-11
1.023292992280741e+04	6.594833917180180e-11
1.047128548050886e+04	6.594049438296058e-11
1.071519305237592e+04	6.593198111952444e-11
1.096478196143171e+04	6.592278277340686e-11
1.122018454301949e+04	6.591288141739177e-11
1.148153621496868e+04	6.590225776770549e-11
1.174897554939514e+04	6.589089114499912e-11
1.202264434617397e+04	6.587875943368383e-11
1.230268770812365e+04	6.586583903955482e-11
1.258925411794151e+04	6.585210484603560e-11
1.288249551693117e+04	6.583753016666677e-11
1.318256738556390e+04	6.582208669962644e-11
1.348962882591636e+04	6.580574447646974e-11
1.380384264602866e+04	6.578847181088664e-11
1.412537544622735e+04	6.577023524512989e-11
1.445439770745908e+04	6.575099949448354e-11
1.479108388168187e+04	6.573072739015229e-11
1.513561248436188e+04	6.570937981825259e-11
1.548816618912460e+04	6.568691566073429e-11
1.584893192461092e+04	6.566329173049438e-11
1.621810097358908e+04	6.563846270654648e-11
1.659586907437538e+04	6.561238106696020e-11
1.698243652461721e+04	6.558499702040342e-11
1.737800828749351e+04	6.555625843406159e-11
1.778279410038898e+04	6.552611076380427e-11
1.819700858609958e+04	6.549449697899480e-11
1.862087136662842e+04	6.546135748825525e-11
1.905460717963221e+04	6.542663006170846e-11
1.949844599758018e+04	6.539024975602328e-11
1.995262314968852e+04	6.535214883478382e-11
2.041737944669501e+04	6.531225669054701e-11
2.089296130854010e+04	6.527049976425892e-11
2.137962089502202e+04	6.522680146840274e-11
2.187761623949522e+04	6.518108210697369e-11
2.238721138568308e+04	6.513325879606272e-11
2.290867652767740e+04	6.508324538884082e-11
